 ------- ------------ ---------------------- -------------------- ---------------- --------------- ---------------------- ---------- --------- ------------------------ ------------------------ -------------- -------------------- ------------------------------------------------------------ --------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
  annee   numero_lot   lot_emplacement        type_appartement     numero_serie     compteur_type   compteur_emplacement   index_n1   index_n   index_compteur_demonte   index_nouveau_compteur   consommation   etat_code            etat_libelle                                                 forfait   commentaire                                                                                                                                                                
 ------- ------------ ---------------------- -------------------- ---------------- --------------- ---------------------- ---------- --------- ------------------------ ------------------------ -------------- -------------------- ------------------------------------------------------------ --------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
  2018    102          Rdc Bureaux            Bureaux              IMP-102-CUI-EC   EC              Cuisine                0          0                                                           0.000          supprime             Suppression définitive d'un compteur                         0                                                                                                                                                                                    
  2018    102          Rdc Bureaux            Bureaux              IMP-102-SAL-EC   EC              Salle de bain          0          0                                                           0.000          supprime             Suppression définitive d'un compteur                         0                                                                                                                                                                                    
  2018    102          Rdc Bureaux            Bureaux              IMP-102-CUI-EF   EF              Cuisine                17921      18008                                                       87.000         actif                En fonctionnement                                            0         ok                                                                                                                                                                         
  2018    102          Rdc Bureaux            Bureaux              IMP-102-SAL-EF   EF              Salle de bain          0          0                                                           0.000          supprime             Suppression définitive d'un compteur                         0         ok                                                                                                                                                                         
  2018    103          1er Couloir Face       5 pièces             95218906         EC              Cuisine                261        265                                                         4.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    103          1er Couloir Face       5 pièces             95218909         EC              Salle de bain          550        560                                                         10.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    103          1er Couloir Face       5 pièces             95191190         EF              Cuisine                431        439                                                         8.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    103          1er Couloir Face       5 pièces             95191258         EF              Salle de bain          1161       1187                                                        26.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    104          1er (Coursive 2)       4 pièces             IMP-104-CUI-EC   EC              Cuisine                30         30                                                          0.000          bloque               Compteur bloqué                                              1         FORFAIT car cuisine ne tourne pas                                                                                                                                          
  2018    104          1er (Coursive 2)       4 pièces             IMP-104-SAL-EC   EC              Salle de bain          189        221                                                         32.000         actif                En fonctionnement                                            0         FORFAIT car cuisine ne tourne pas                                                                                                                                          
  2018    104          1er (Coursive 2)       4 pièces             IMP-104-CUI-EF   EF              Cuisine                69         91                                                          22.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    104          1er (Coursive 2)       4 pièces             IMP-104-SAL-EF   EF              Salle de bain          444        504                                                         60.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
